1   Ольга Беспалова 3

2   Милен Калашников 5

3   Лора Шашкова 3

4   Фаина Колесникова 3

5   Регина Назарова 3

6   Маргарита Журавлева 5

7   Тамара Кулакова 5

8   Елена Белозерова 4

9   Полина Мамонтова 3

10  Александр Александров 3

11  Эмилия Рогова 5

12  Анжелика Чернова 4

13  Светлана Романова 3

14  Светлана Галкина 5

15  Лариса Ефремова 5

16  Анжела Медведева 3

17  Маргарита Кириллова 3

18  Викентий Михайлов 5

19  Регина Терентьева 3

20  Полина Аксенова 4

21  Валентина Чернова 4

22  Феврония Селиверстова 4

23  Михей Копылов 5

24  Евгения Панфилова 3

25  Юлий Кондратьев 5

26  Акулина Зуева 4

27  Элеонора Кулагина 3

28  Мария Виноградова 4

29  Артем Некрасов 3

30  Владлен Горшков 3

31  Андроник Исаев 4

32  Прасковья Родионова 5

33  Иосиф Мельников 5

34  Богдан Смирнов 3

35  Боян Денисов 3

36  Владислав Ершов 4

37  Всеволод Артемьев 4

38  Нонна Шубина 5

39  Татьяна Королева 5

40  Егор Зиновьев 5

41  Регина Логинова 4

42  Ольга Никифорова 3

43  Орест Селиверстов 5

44  Ольга Большакова 3

45  Элеонора Гущина 3

46  Лариса Коновалова 4

47  Аскольд Мясников 4

48  Дарья Галкина 4

49  Вера Евдокимова 5

50  Тамара Ситникова 3

51  Анжелика Назарова 4

52  Евфросиния Филиппова 3

53  Евгения Семенова 3

54  Боян Исаев 5

55  Валерьян Марков 4

56  Адам Васильев 4

57  Евдокия Борисова 5

58  Нинель Фокина 4

59  Марина Прохорова 4

60  Любомир Титов 5

61  Амос Шаров 4

62  Людмила Трофимова 5

63  Адам Ершов 3

64  Никандр Никонов 3

65  Прасковья Суханова 4

66  Викторин Захаров 3

67  Мартын Евдокимов 3

68  Вероника Павлова 5

69  Агафья Пахомова 3

70  Валентина Карпова 5

71  Сергей Воробьев 3

72  Александра Зыкова 5

73  Василиса Антонова 5

74  Светлана Брагина 4

75  Марфа Самсонова 5

76  Ия Комиссарова 5

77  Михаил Мартынов 4

78  Валентина Комарова 3

79  Елена Никитина 4

80  Самсон Орехов 4

81  Петр Никитин 4

82  Ипполит Ершов 3

83  Куприян Мишин 4

84  Олимпиада Сергеева 5

85  Милица Капустина 5

86  Николай Щербаков 4

87  Борислав Белоусов 4

88  Элеонора Устинова 3

89  Любомир Мишин 5

90  Афанасий Ильин 4

91  Елизавета Кабанова 4

92  Милан Петухов 5

93  Марк Одинцов 3

94  Наталья Ефимова 5

95  Акулина Филиппова 5

96  Порфирий Горбунов 5

97  Вера Фомичева 5

98  Андроник Егоров 5

99  Никодим Григорьев 3

100 Алла Попова 5

101 Влас Волков 3

102 Ангелина Юдина 4

103 София Федотова 5

104 Святослав Петров 5

105 Зосима Агафонов 3

106 Екатерина Бурова 5

107 Пелагея Брагина 5

108 Варвара Юдина 4

109 Родион Устинов 5

110 Феврония Лазарева 3

111 Лукия Рябова 3

112 Сила Зуев 3

113 Нонна Мамонтова 4

114 Раиса Козлова 5

115 Изяслав Колобов 4

116 Фёкла Родионова 3

117 Архип Потапов 4

118 Ермолай Горбунов 5

119 Милица Михайлова 4

120 Ульяна Захарова 4

121 Натан Гуляев 5

122 Эмилия Муравьева 3

123 Мефодий Иванов 3

124 Самуил Гаврилов 4

125 Фёкла Зыкова 4

126 Лука Лыткин 5

127 Мария Ильина 3

128 Назар Стрелков 5

129 Евпраксия Кириллова 5

130 Фаина Котова 4

131 Валерия Колесникова 4

132 Евгения Калинина 3

133 Любовь Лаврентьева 3

134 Юлиан Сысоев 5

135 Никанор Носов 5

136 Алексей Голубев 5

137 Анисим Потапов 4

138 Эмилия Медведева 5

139 Виссарион Филиппов 5

140 Никанор Анисимов 3

141 Кира Андреева 4

142 Сигизмунд Крылов 4

143 Устин Федоров 3

144 Каллистрат Самсонов 3

145 Олимпий Федосеев 4

146 Юлия Воробьева 5

147 Вероника Орлова 5

148 Зоя Лобанова 3

149 Нинель Борисова 4

150 Яков Дмитриев 5

151 Онуфрий Тихонов 4

152 Будимир Голубев 3

153 Раиса Мартынова 4

154 Натан Орехов 5

155 Владлен Маслов 3

156 Анжела Никонова 3

157 Остромир Колесников 5

158 Агата Белякова 3

159 Мирон Крылов 5

160 Ипатий Кононов 3

161 Пелагея Большакова 3

162 Тамара Ситникова 5

163 Татьяна Андреева 3

164 Афанасий Силин 5

165 Бронислав Молчанов 3

166 Феврония Ефимова 4

167 Степан Жуков 3

168 Ираида Егорова 3

169 Ангелина Щербакова 4

170 Эдуард Рыбаков 4

171 Бронислав Артемьев 4

172 Арсений Яковлев 3

173 Виктория Лебедева 3

174 Синклитикия Вишнякова 5

175 Чеслав Дорофеев 3

176 Наркис Дементьев 5

177 Моисей Гордеев 3

178 Кондрат Зыков 5

179 Венедикт Родионов 5

180 Аполлон Колобов 5

181 Вацлав Шилов 5

182 Милица Зайцева 4

183 Доброслав Гуляев 4

184 Мокей Пестов 5

185 Анжелика Сазонова 5

186 Сергей Бобров 5

187 Агата Воронова 5

188 Прокофий Петухов 4

189 Жанна Константинова 4

190 Марфа Ширяева 4

191 Елена Ситникова 5

192 Ермолай Яковлев 4

193 Валентина Рожкова 4

194 Илья Хохлов 4

195 Валентина Игнатьева 5

196 Аникей Щукин 4

197 Аникита Рогов 5

198 Клавдия Филатова 3

199 Прохор Афанасьев 5

200 Святополк Орехов 5

201 Авксентий Меркушев 3

202 Богдан Морозов 3

203 Соломон Устинов 5

204 Руслан Белоусов 3

205 Ипатий Анисимов 5

206 Татьяна Ситникова 3

207 Климент Крюков 3

208 Пелагея Вишнякова 4

209 Софон Доронин 5

210 Любовь Горшкова 4

211 Нина Юдина 5

212 Родион Щербаков 5

213 Ратмир Яковлев 5

214 Елена Назарова 3

215 Валерия Боброва 4

216 Селиван Лаврентьев 4

217 Будимир Ермаков 4

218 Мария Капустина 3

